year	venue	title	pdf_path	known_arxiv_id	planned_directory	skip_reason
2024	arXiv	Taming Throughput-Latency Tradeoff in LLM Inference with Sarathi-Serve	/home/undefined/Desktop/ai/papers/03_kv_cache_serving_inference/2024arXiv-Taming Throughput-Latency Tradeoff in LLM Inference with Sarathi-Serve.pdf	2403.02310	2024arXiv-Taming Throughput-Latency Tradeoff in LLM Inference with Sarathi-Serve	
2024	arXiv	The Llama 3 Herd of Models	/home/undefined/Desktop/ai/papers/01_transformer_norm_attention/2024arXiv-The Llama 3 Herd of Models.pdf	2407.21783	2024arXiv-The Llama 3 Herd of Models	
2024	arXiv	vAttention Dynamic Memory Management for Serving LLMs without PagedAttention	/home/undefined/Desktop/ai/papers/03_kv_cache_serving_inference/2024arXiv-vAttention Dynamic Memory Management for Serving LLMs without PagedAttention.pdf	2405.04437	2024arXiv-vAttention: Dynamic Memory Management for Serving LLMs without PagedAttention	
2025	ACL	Native Sparse Attention Hardware-Aligned and Natively Trainable Sparse Attention	/home/undefined/Desktop/ai/papers/08_2025_2026_frontier/2025ACL-Native Sparse Attention Hardware-Aligned and Natively Trainable Sparse Attention.pdf	2502.11089	2025ACL-Native Sparse Attention: Hardware-Aligned and Natively Trainable Sparse Attention	
2025	ACL	s1 Simple Test-Time Scaling	/home/undefined/Desktop/ai/papers/02_pretrain_sft_alignment/2025ACL-s1 Simple Test-Time Scaling.pdf	2501.19393	2025ACL-s1: Simple test-time scaling	
2025	ASPLOS	Relax: Composable Abstractions for End-to-End Dynamic Machine Learning	/home/undefined/Desktop/ai/papers/2025ASPLOS-Relax: Composable Abstractions for End-to-End Dynamic Machine Learning.pdf		2025ASPLOS-Relax: Composable Abstractions for End-to-End Dynamic Machine Learning	
2025	arXiv	MEMORY CACHING: RNNS WITH GROWING MEMORY	/home/undefined/Desktop/ai/papers/2025arXiv-MEMORY CACHING: RNNS WITH GROWING MEMORY.pdf		2025arXiv-MEMORY CACHING: RNNS WITH GROWING MEMORY	""
2025	COLM	LIMO Less is More for Reasoning	/home/undefined/Desktop/ai/papers/02_pretrain_sft_alignment/2025COLM-LIMO Less is More for Reasoning.pdf	2502.03387	2025COLM-LIMO: Less is More for Reasoning	
2025	ICLR	SageAttention2 Efficient Attention with Thand Per-Thread INT4 Quantization	/home/undefined/Desktop/ai/papers/06_cuda_kernels_precision/2025ICLR-SageAttention2 Efficient Attention with Thand Per-Thread INT4 Quantization.pdf		2025ICLR-SageAttention2 Efficient Attention with Thand Per-Thread INT4 Quantization	
2025	MLSys	Accelerating self-attentions for llm serving with flashinfer	/home/undefined/Desktop/ai/papers/01_transformer_norm_attention/2025MLSys-Accelerating self-attentions for llm serving with flashinfer.pdf		2025MLSys-Accelerating self-attentions for llm serving with flashinfer	
2025	MLSys	FLASHINFER: EFFICIENT AND CUSTOMIZABLE ATTENTION ENGINE FOR	/home/undefined/Desktop/ai/papers/2025MLSys-FLASHINFER: EFFICIENT AND CUSTOMIZABLE ATTENTION ENGINE FOR.pdf		2025MLSys-FLASHINFER: EFFICIENT AND CUSTOMIZABLE ATTENTION ENGINE FOR	
2025	NeurIPS	EAGLE-3: Scaling up Inference Acceleration of Large Language	/home/undefined/Desktop/ai/papers/Speculative Decode/2025NeurIPS-EAGLE-3: Scaling up Inference Acceleration of Large Language.pdf		2025NeurIPS-EAGLE-3: Scaling up Inference Acceleration of Large Language	
2025	Report	Muon is Scalable for LLM Training	/home/undefined/Desktop/ai/papers/04_parallel_training_systems/2025Report-Muon is Scalable for LLM Training.pdf	2502.16982	2025Report-Muon is Scalable for LLM Training	
2025	Report	Qwen3 Technical Report	/home/undefined/Desktop/ai/papers/02_pretrain_sft_alignment/2025Report-Qwen3 Technical Report.pdf	2505.09388	2025Report-Qwen3 Technical Report	
2025	SOSP	Robust LLM Training Infrastructure at ByteDance	/home/undefined/Desktop/ai/papers/08_2025_2026_frontier/2025SOSP-Robust LLM Training Infrastructure at ByteDance.pdf	2509.16293	2025SOSP-Robust LLM Training Infrastructure at ByteDance	
2025	TKDE	A Survey on Mixture of Experts in Large Language Models	/home/undefined/Desktop/ai/papers/09_surveys/2025TKDE-A Survey on Mixture of Experts in Large Language Models.pdf		2025TKDE-A Survey on Mixture of Experts in Large Language Models	
2025	Usenix	zkGPT: An Efficient Non-interactive Zero-knowledge Proof Framework for LLM Inference	/home/undefined/Desktop/ai/papers/Security/2025Usenix-zkGPT: An Efficient Non-interactive Zero-knowledge Proof Framework for LLM Inference.pdf		2025Usenix-zkGPT: An Efficient Non-interactive Zero-knowledge Proof Framework for LLM Inference	
2025	arXiv	Alignment Collapse Under KV Cache Quantization Diagnosis and Mitigation	/home/undefined/Desktop/ai/papers/06_cuda_kernels_precision/2025arXiv-Alignment Collapse Under KV Cache Quantization Diagnosis and Mitigation.pdf		2025arXiv-Alignment Collapse Under KV Cache Quantization Diagnosis and Mitigation	
2025	arXiv	ByteScale Efficient Scaling of LLM Training with a 2048K Context Length on More Than 12000 GPUs	/home/undefined/Desktop/ai/papers/04_parallel_training_systems/2025arXiv-ByteScale Efficient Scaling of LLM Training with a 2048K Context Length on More Than 12000 GPUs.pdf		2025arXiv-ByteScale Efficient Scaling of LLM Training with a 2048K Context Length on More Than 12000 GPUs	
2025	arXiv	DeepSeek-R1 Incentivizing Reasoning Capability in LLMs via Reinforcement Learning	/home/undefined/Desktop/ai/papers/02_pretrain_sft_alignment/2025arXiv-DeepSeek-R1 Incentivizing Reasoning Capability in LLMs via Reinforcement Learning.pdf	2501.12948	2025arXiv-DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning	
2025	arXiv	Demystifying NCCL An In-Depth Analysis of GPU Communication Protocols and Algorithms	/home/undefined/Desktop/ai/papers/07_communication_hardware/2025arXiv-Demystifying NCCL An In-Depth Analysis of GPU Communication Protocols and Algorithms.pdf		2025arXiv-Demystifying NCCL An In-Depth Analysis of GPU Communication Protocols and Algorithms	
2025	arXiv	Demystifying NVSHMEM A System-Level Analysis on Symmetric Memory and Device-Initiated Operations in GPU Communication	/home/undefined/Desktop/ai/papers/07_communication_hardware/2025arXiv-Demystifying NVSHMEM A System-Level Analysis on Symmetric Memory and Device-Initiated Operations in GPU Communication.pdf		2025arXiv-Demystifying NVSHMEM A System-Level Analysis on Symmetric Memory and Device-Initiated Operations in GPU Communication	
2025	arXiv	DynaServe Unified and Elastic Execution for Dynamic Disaggregated LLM Serving	/home/undefined/Desktop/ai/papers/03_kv_cache_serving_inference/2025arXiv-DynaServe Unified and Elastic Execution for Dynamic Disaggregated LLM Serving.pdf		2025arXiv-DynaServe Unified and Elastic Execution for Dynamic Disaggregated LLM Serving	
2025	arXiv	Efficient Multi-Round LLM Inference over Disaggregated Serving	/home/undefined/Desktop/ai/papers/03_kv_cache_serving_inference/2025arXiv-Efficient Multi-Round LLM Inference over Disaggregated Serving.pdf	2602.14516	2025arXiv-Efficient Multi-round LLM Inference over Disaggregated Serving	
2025	arXiv	FSA An Alternative Efficient Implementation of Native Sparse Attention Kernel	/home/undefined/Desktop/ai/papers/06_cuda_kernels_precision/2025arXiv-FSA An Alternative Efficient Implementation of Native Sparse Attention Kernel.pdf		2025arXiv-FSA An Alternative Efficient Implementation of Native Sparse Attention Kernel	
2025	arXiv	Hardware-Centric Analysis of DeepSeek's Multi-Head Latent Attention	/home/undefined/Desktop/ai/papers/05_moe_mha_variants/2025arXiv-Hardware-Centric Analysis of DeepSeek's Multi-Head Latent Attention.pdf	2506.02523	2025arXiv-Hardware-Centric Analysis of DeepSeek's Multi-Head Latent Attention	
2025	arXiv	HexiScale Facilitating Large Language Model Training over Heterogeneous Hardware	/home/undefined/Desktop/ai/papers/04_parallel_training_systems/2025arXiv-HexiScale Facilitating Large Language Model Training over Heterogeneous Hardware.pdf		2025arXiv-HexiScale Facilitating Large Language Model Training over Heterogeneous Hardware	
2025	arXiv	Jenga Effective Memory Management for Serving LLM with Heterogeneity	/home/undefined/Desktop/ai/papers/03_kv_cache_serving_inference/2025arXiv-Jenga Effective Memory Management for Serving LLM with Heterogeneity.pdf	2503.18292	2025arXiv-Jenga: Effective Memory Management for Serving LLM with Heterogeneity	
2025	arXiv	KVServe Service-Aware KV Cache Compression for Communication-Efficient Disaggregated LLM Serving	/home/undefined/Desktop/ai/papers/03_kv_cache_serving_inference/2025arXiv-KVServe Service-Aware KV Cache Compression for Communication-Efficient Disaggregated LLM Serving.pdf	2605.13734	2025arXiv-KVServe: Service-Aware KV Cache Compression for Communication-Efficient Disaggregated LLM Serving	
2025	arXiv	Kimi k1.5 Scaling Reinforcement Learning with LLMs	/home/undefined/Desktop/ai/papers/02_pretrain_sft_alignment/2025arXiv-Kimi k1.5 Scaling Reinforcement Learning with LLMs.pdf	2501.12599	2025arXiv-Kimi k1.5: Scaling Reinforcement Learning with LLMs	
2025	arXiv	ML-Triton A Multi-Level Compilation and Language Extension to Triton GPU Programming	/home/undefined/Desktop/ai/papers/06_cuda_kernels_precision/2025arXiv-ML-Triton A Multi-Level Compilation and Language Extension to Triton GPU Programming.pdf	2503.14985	2025arXiv-ML-Triton: A Multi-Level Compilation and Language Extension to Triton GPU Programming	
2025	arXiv	MegaScale-MoE Large-Scale Communication-Efficient Training of Mixture-of-Experts Models in Production	/home/undefined/Desktop/ai/papers/04_parallel_training_systems/2025arXiv-MegaScale-MoE Large-Scale Communication-Efficient Training of Mixture-of-Experts Models in Production.pdf		2025arXiv-MegaScale-MoE Large-Scale Communication-Efficient Training of Mixture-of-Experts Models in Production	
2025	arXiv	Microbenchmarking NVIDIA's Blackwell Architecture An In-Depth Architectural Analysis	/home/undefined/Desktop/ai/papers/07_communication_hardware/2025arXiv-Microbenchmarking NVIDIA's Blackwell Architecture An In-Depth Architectural Analysis.pdf		2025arXiv-Microbenchmarking NVIDIA's Blackwell Architecture An In-Depth Architectural Analysis	
2025	arXiv	MiniMax-01 Scaling Foundation Models with Lightning Attention	/home/undefined/Desktop/ai/papers/05_moe_mha_variants/2025arXiv-MiniMax-01 Scaling Foundation Models with Lightning Attention.pdf	2501.08313	2025arXiv-MiniMax-01: Scaling Foundation Models with Lightning Attention	
2025	arXiv	Mixture of Experts in Large Language Models	/home/undefined/Desktop/ai/papers/09_surveys/2025arXiv-Mixture of Experts in Large Language Models.pdf	2507.11181	2025arXiv-Mixture of Experts in Large Language Models	
2025	arXiv	PCCL Process Group-Aware Scalable and Generic Collective Algorithm Synthesizer	/home/undefined/Desktop/ai/papers/07_communication_hardware/2025arXiv-PCCL Process Group-Aware Scalable and Generic Collective Algorithm Synthesizer.pdf		2025arXiv-PCCL Process Group-Aware Scalable and Generic Collective Algorithm Synthesizer	
2025	arXiv	SHIFT Exploring the Boundary of RDMA Network Fault Tolerance	/home/undefined/Desktop/ai/papers/07_communication_hardware/2025arXiv-SHIFT Exploring the Boundary of RDMA Network Fault Tolerance.pdf		2025arXiv-SHIFT Exploring the Boundary of RDMA Network Fault Tolerance	
2025	arXiv	TLX Hardware-Native Evolvable MIMW GPU Compiler for Large-Scale Production Environments	/home/undefined/Desktop/ai/papers/06_cuda_kernels_precision/2025arXiv-TLX Hardware-Native Evolvable MIMW GPU Compiler for Large-Scale Production Environments.pdf		2025arXiv-TLX Hardware-Native Evolvable MIMW GPU Compiler for Large-Scale Production Environments	
2025	arXiv	Towards Economical Inference Enabling DeepSeek's Multi-Head Latent Attention in Any Transformer-Based LLMs	/home/undefined/Desktop/ai/papers/05_moe_mha_variants/2025arXiv-Towards Economical Inference Enabling DeepSeek's Multi-Head Latent Attention in Any Transformer-Based LLMs.pdf		2025arXiv-Towards Economical Inference Enabling DeepSeek's Multi-Head Latent Attention in Any Transformer-Based LLMs	
2025	arXiv	vLLM-Omni Fully Disaggregated Serving for Any-to-Any Multimodal Models	/home/undefined/Desktop/ai/papers/03_kv_cache_serving_inference/2025arXiv-vLLM-Omni Fully Disaggregated Serving for Any-to-Any Multimodal Models.pdf	2602.02204	2025arXiv-vLLM-Omni: Fully Disaggregated Serving for Any-to-Any Multimodal Models	
2025	arXiv	vTensor Flexible Virtual Tensor Management for Efficient LLM Serving	/home/undefined/Desktop/ai/papers/03_kv_cache_serving_inference/2025arXiv-vTensor Flexible Virtual Tensor Management for Efficient LLM Serving.pdf	2407.15309	2025arXiv-vTensor: Flexible Virtual Tensor Management for Efficient LLM Serving	
2026	ASPLOS	SuperOffload: Unleashing the Power of Large-Scale LLM Training on Superchips	/home/undefined/Desktop/ai/papers/Security/2026ASPLOS-SuperOffload: Unleashing the Power of Large-Scale LLM Training on Superchips.pdf		2026ASPLOS-SuperOffload: Unleashing the Power of Large-Scale LLM Training on Superchips	
2026	arXiv	SPECTRE: Hybrid Ordinary-Parallel Speculative Serving for Resource-Efficient LLM Inference	/home/undefined/Desktop/ai/papers/Speculative Decode/2026arXiv-SPECTRE: Hybrid Ordinary-Parallel Speculative Serving for Resource-Efficient LLM Inference.pdf		2026arXiv-SPECTRE: Hybrid Ordinary-Parallel Speculative Serving for Resource-Efficient LLM Inference	""
2026	ICLR	Mirror Speculative Decoding: Breaking the Serial Barrier in LLM Inference	/home/undefined/Desktop/ai/papers/Speculative Decode/2026ICLR-Mirror Speculative Decoding: Breaking the Serial Barrier in LLM Inference.pdf		2026ICLR-Mirror Speculative Decoding: Breaking the Serial Barrier in LLM Inference	
2026	ICLR	TurboQuant Online Vector Quantization with Near-Optimal Distortion Rate	/home/undefined/Desktop/ai/papers/06_cuda_kernels_precision/2026ICLR-TurboQuant Online Vector Quantization with Near-Optimal Distortion Rate.pdf	2504.19874	2026ICLR-TurboQuant: Online Vector Quantization with Near-optimal Distortion Rate	
2026	ICML	SpecForge: A Flexible and Efficient Open-Source Training Framework for Speculative Decoding	/home/undefined/Desktop/ai/papers/Speculative Decode/2026ICML-SpecForge: A Flexible and Efficient Open-Source Training Framework for Speculative Decoding.pdf		2026ICML-SpecForge: A Flexible and Efficient Open-Source Training Framework for Speculative Decoding	
2026	Usenix	Behind Bars: A Side-Channel Attack on NVIDIA MIG Cache Partitioning Using Memory Barriers	/home/undefined/Desktop/ai/papers/Security/2026Usenix-Behind Bars: A Side-Channel Attack on NVIDIA MIG Cache Partitioning Using Memory Barriers.pdf		2026Usenix-Behind Bars: A Side-Channel Attack on NVIDIA MIG Cache Partitioning Using Memory Barriers	
